[STATE] heartbeat t=2050-01-02 20:00 RUNNING step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 270 (+18), battle-trigger passes 31681 (+1799) since last beat
[CAMERA] pan -> 149.8,-1.5 Gm
[CAMERA] pan -> 149.8,-1.5 Gm
[CAMERA] pan -> 149.8,-1.5 Gm
[CAMERA] pan -> 149.8,-1.5 Gm
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[SELECT] Primary click on 'Luna' (entity #606, faction -99)
Loading image: C:\Users\DeeDiebS\Desktop\Pulsar 4X\4x-Game\Pulsar4X\Pulsar4X.Client\bin\Debug\net8.0\Resources\PinIco.bmp
Successfully loaded: Pin
Format: .bmp
Texture pointer: 249C16C1E40
Dimensions: 256x256
--------------------------------------------------
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=Luna ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> -0.1,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=Luna ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[SELECT] Primary click on 'Luna' (entity #606, faction -99)
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=Luna ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[TIME] one step (300s)
[TIME] one step (300s)
[STATE] heartbeat t=2050-01-03 05:30 paused step=300s selected=Luna ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38521 (+120) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[TIME] one step (300s)
[TIME] one step (300s)
[TIME] one step (300s)
[TIME] play (step 300s)
[STATE] heartbeat t=2050-01-03 06:05 RUNNING step=300s selected=Luna ships-in-view=36
[ENGINE] sensor scans 330 (+6), battle-trigger passes 38941 (+420) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[CAMERA] pan -> -0,0 Gm
[STATE] heartbeat t=2050-01-03 08:35 RUNNING step=300s selected=Luna ships-in-view=36
[ENGINE] sensor scans 342 (+12), battle-trigger passes 40741 (+1800) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 11:10 RUNNING step=300s selected=Luna ships-in-view=36
[ENGINE] sensor scans 360 (+18), battle-trigger passes 42601 (+1860) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[TIME] paused
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=Luna ships-in-view=36
[ENGINE] sensor scans 366 (+6), battle-trigger passes 43261 (+660) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[SELECT] Primary click on '1st Task Force Lancer Test Railgun Cruiser 2' (entity #663, faction 640)
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[CAMERA] pan -> 0,0 Gm
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[SELECT] Alt click on '1st Task Force Lancer Test Railgun Cruiser 2' (entity #663, faction 640)
[SELECT] Alt click on '1st Task Force Lancer Test Railgun Cruiser 2' (entity #663, faction 640)
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[SELECT] Alt click on '1st Task Force Lancer Test Railgun Cruiser 2' (entity #663, faction 640)
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 12:05 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 366 (+0), battle-trigger passes 43261 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[TIME] play (step 300s)
[STATE] heartbeat t=2050-01-03 13:30 RUNNING step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 372 (+6), battle-trigger passes 44281 (+1020) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 16:00 RUNNING step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 390 (+18), battle-trigger passes 46081 (+1800) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 18:30 RUNNING step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 402 (+12), battle-trigger passes 47881 (+1800) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[TIME] paused
[STATE] heartbeat t=2050-01-03 18:30 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 402 (+0), battle-trigger passes 47881 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[SELECT] Alt click on '1st Task Force Lancer Test Railgun Cruiser 2' (entity #663, faction 640)
[STATE] heartbeat t=2050-01-03 18:30 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 402 (+0), battle-trigger passes 47881 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 18:30 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 402 (+0), battle-trigger passes 47881 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[TIME] play (step 300s)
[STATE] heartbeat t=2050-01-03 19:35 RUNNING step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 408 (+6), battle-trigger passes 48661 (+780) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 22:05 RUNNING step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 426 (+18), battle-trigger passes 50461 (+1800) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[WARP] ship #662 '1st Task Force Aegis Test Warship 1' arrived at Luna
[STATE] heartbeat t=2050-01-04 00:35 RUNNING step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 438 (+12), battle-trigger passes 52261 (+1800) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 03:05 RUNNING step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 456 (+18), battle-trigger passes 54061 (+1800) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 05:35 RUNNING step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 468 (+12), battle-trigger passes 55861 (+1800) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[TIME] paused
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+6), battle-trigger passes 56461 (+600) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0.1,-0 Gm
[CAMERA] pan -> 0.1,-0 Gm
[CAMERA] pan -> 0.1,-0 Gm
[CAMERA] pan -> 0.1,-0 Gm
[CAMERA] pan -> 0.1,-0 Gm
[CAMERA] pan -> 0.1,-0 Gm
[CAMERA] pan -> 0.1,-0 Gm
[CAMERA] pan -> 0.1,-0 Gm
[CAMERA] pan -> 0.1,-0 Gm
[CAMERA] pan -> 0.1,-0 Gm
[CAMERA] pan -> 0.2,0.1 Gm
[CAMERA] pan -> 0.2,0.1 Gm
[CAMERA] pan -> 0.2,0.1 Gm
[CAMERA] pan -> 0.2,0.1 Gm
[CAMERA] pan -> 0.2,0.1 Gm
[CAMERA] pan -> 0.2,0.1 Gm
[CAMERA] pan -> 0.2,0.1 Gm
[CAMERA] pan -> 0.2,0.1 Gm
[CAMERA] pan -> 0.2,0.1 Gm
[CAMERA] pan -> 0.2,0.1 Gm
[CAMERA] pan -> 0.8,0.9 Gm
[CAMERA] pan -> 0.8,0.9 Gm
[CAMERA] pan -> 0.8,0.9 Gm
[CAMERA] pan -> 0.8,0.9 Gm
[CAMERA] pan -> 0.8,0.9 Gm
[CAMERA] pan -> 0.8,0.9 Gm
[CAMERA] pan -> 0.8,0.9 Gm
[CAMERA] pan -> 0.8,0.9 Gm
[CAMERA] pan -> 0.8,0.9 Gm
[CAMERA] pan -> 0.8,0.9 Gm
[CAMERA] pan -> 3.1,3.7 Gm
[CAMERA] pan -> 3.1,3.7 Gm
[CAMERA] pan -> 3.1,3.7 Gm
[CAMERA] pan -> 3.1,3.7 Gm
[CAMERA] pan -> 3.1,3.7 Gm
[CAMERA] pan -> 3.1,3.7 Gm
[CAMERA] pan -> 3.1,3.7 Gm
[CAMERA] pan -> 3.1,3.7 Gm
[CAMERA] pan -> 3.1,3.7 Gm
[CAMERA] pan -> 3.1,3.7 Gm
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 7.6,9.2 Gm
[CAMERA] pan -> 7.6,9.2 Gm
[CAMERA] pan -> 7.6,9.2 Gm
[CAMERA] pan -> 7.6,9.2 Gm
[CAMERA] pan -> 7.6,9.2 Gm
[CAMERA] pan -> 7.6,9.2 Gm
[CAMERA] pan -> 7.6,9.2 Gm
[CAMERA] pan -> 7.6,9.2 Gm
[CAMERA] pan -> 7.6,9.2 Gm
[CAMERA] pan -> 7.6,9.2 Gm
[CAMERA] pan -> 23.3,28.2 Gm
[CAMERA] pan -> 23.3,28.2 Gm
[CAMERA] pan -> 23.3,28.2 Gm
[CAMERA] pan -> 23.3,28.2 Gm
[CAMERA] pan -> 23.3,28.2 Gm
[CAMERA] pan -> 23.3,28.2 Gm
[CAMERA] pan -> 23.3,28.2 Gm
[CAMERA] pan -> 23.3,28.2 Gm
[CAMERA] pan -> 23.3,28.2 Gm
[CAMERA] pan -> 23.3,28.2 Gm
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
